period,period_start,period_end,level,id,title,repos,merged_prs,noise_prs,integration_prs,ticket_count,dev_time_median_h,dev_time_p85_h,queue_median_h,queue_p85_h,queue_samples,tickets_reached_main_pct,tickets_via_team,tickets_on_main,tickets_multi_repo,multi_repo_pct,unjoined_ticket_pct,cycle_time_median_h,cycle_time_p85_h,cycle_time_samples,cycle_to_team_median_h,cycle_to_team_p85_h,cycle_to_team_samples,cycle_to_main_median_h,cycle_to_main_p85_h,cycle_to_main_samples,direct_to_main_pct,delivery_model,trunk_based_repos,time_to_main_median_h,time_to_main_p85_h,time_to_main_samples,time_to_main_coverage_pct,reached_main_pct,in_flight_changes,in_flight_pct,in_flight_median_age_h,in_flight_p85_age_h,on_main_undated,branch_deleted,time_to_main_unknown,lead_time_median_d,lead_time_p85_d,release_wait_median_d,shipped_changes,lead_samples,shipped_estimated_dates,shipped_untraceable,change_failure_rate_pct,corrective_changes,deployments,failed_deployments,cfr_source,defect_escape_rate_pct,escaped_defects,caught_defects,der_source,generated_at
2026-03,2026-03-01,2026-04-01,area,Case Administration,Case Administration,25,162,10,42,122,28.7,477.9,,,0,4.8,83,4,19,15.6,32.8,3.2,117.8,162,2.1,94.1,112,18.7,239.1,50,30.9,mixed,3,18.7,239.1,50,30.9,34.0,107,66.0,4262.2,4465.1,5,0,0,28.8,83.6,12.2,46,27,0,19,6.2,10,,,github-corrective-prs,,0,4,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,Case Ingestion,Case Ingestion,6,10,0,1,5,141.4,834.9,,,0,20.0,5,1,3,60.0,0.0,0.8,2.9,10,0.8,2.9,10,,,0,0.0,team-branch,0,,,0,0.0,20.0,8,80.0,4165.8,4379.4,2,0,0,41.2,41.2,23.1,5,1,0,4,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,Court Hearing,Court Hearing,12,52,1,31,42,18.3,557.1,,,0,2.6,38,1,13,31.0,23.8,2.0,50.1,52,1.8,47.9,46,3.1,1700.6,6,11.5,team-branch,0,3.1,1700.6,6,11.5,15.4,44,84.6,4081.3,4402.8,2,0,0,40.7,81.6,18.2,18,8,0,10,0.0,0,,,github-corrective-prs,,0,3,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,DLRM,DLRM,2,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,Management Information System,Management Information System,6,32,0,3,20,166.9,420.2,,,4,36.4,11,4,4,20.0,30.0,4.1,200.7,32,10.3,177.2,22,1.0,191.1,10,31.2,mixed,1,72.3,945.3,14,43.8,43.8,18,56.2,3934.9,4450.9,0,0,0,,,16.6,2,0,0,2,0.0,0,,,github-corrective-prs,,0,3,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,Platform Engineering,Platform Engineering,17,56,0,16,44,70.2,929.7,,,0,2.9,34,1,15,34.1,18.2,15.8,450.7,56,5.4,214.1,44,221.0,3379.2,12,21.4,mixed,1,221.0,3379.2,12,21.4,23.2,43,76.8,4198.4,4531.9,1,0,0,112.1,157.0,22.3,29,13,0,16,0.0,0,,,github-corrective-prs,,0,1,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,area,Scheduling & Listing System,Scheduling & Listing System,7,28,5,2,27,19.5,138.0,,,0,0.0,23,0,3,11.1,14.8,11.4,114.8,28,17.6,237.2,24,3.0,11.0,4,14.3,mixed,1,3.0,11.0,4,14.3,14.3,24,85.7,4416.1,4557.1,0,0,0,8.6,8.8,4.3,2,2,0,0,0.0,0,,,github-corrective-prs,,0,7,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,model,unclassified,Too few changes to classify,9,0,0,1,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,unclassified,0,,,0,,,0,,,,0,0,0,54.1,54.1,8.1,1,1,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,model,trunk-based,"Trunk-based, no integration branch",6,37,4,0,28,14.2,213.6,,,0,,0,0,1,3.6,64.3,4.9,81.5,37,,,0,4.9,81.5,37,100.0,trunk-based,6,4.9,81.5,37,100.0,100.0,0,0.0,,,0,0,0,,,,0,0,0,0,5.4,2,,,github-corrective-prs,,0,3,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
2026-03,2026-03-01,2026-04-01,model,team-branch,Via an integration branch,60,303,12,94,200,29.6,553.9,,,4,6.5,168,11,24,12.0,25.0,3.2,180.7,303,2.4,111.7,258,25.5,896.7,45,14.9,team-branch,0,30.4,1085.0,49,16.2,19.5,244,80.5,4227.2,4466.7,10,0,0,29.7,139.4,19.3,101,50,0,51,2.6,8,,,github-corrective-prs,,0,15,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:58Z
